@relation PartTreinamento_ConcluidoDesertou

@attribute Sexo numeric
@attribute Idade numeric
@attribute ZonaMoradia_ZONARESIDENCIAL numeric
@attribute ZonaMoradia_ASENTAMIENTOHUMANO numeric
@attribute ZonaMoradia_URBANIZACION numeric
@attribute ZonaMoradia_CASCOURBANO numeric
@attribute ZonaMoradia_PUEBLOJOVEN numeric
@attribute ZonaMoradia_OTROS numeric
@attribute ZonaMoradia_ZONARURAL numeric
@attribute Trabalha numeric
@attribute EstadoCivil_SOLTERO numeric
@attribute EstadoCivil_CASADO numeric
@attribute EstadoCivil_DIVORCIADO numeric
@attribute EstadoCivil_DESCONOCIDO numeric
@attribute EstadoCivil_SEPARADO numeric
@attribute EstadoCivil_CONVIVIENTE numeric
@attribute EstadoCivil_VIUDO numeric
@attribute Escola numeric
@attribute Religiao_CRISTIANOCATOLICO numeric
@attribute Religiao_OTRARELIGION numeric
@attribute Religiao_CRISTIANOEVANGELICO numeric
@attribute Religiao_AGNOSTICO numeric
@attribute CursoGraduacao numeric
@attribute Modalidade numeric
@attribute PeriodoIngreso numeric
@attribute NotaExameAdmissao numeric
@attribute TotalNiveisCurso numeric
@attribute TotalCreditosCurso numeric
@attribute TotalNiveisCursados numeric
@attribute PorcentagemNC numeric
@attribute TotalCreditosCursados numeric
@attribute PorcentagemCC numeric
@attribute PeriodoUltimaMatricula numeric
@attribute UltimoNivelEstudado numeric
@attribute PromedioUltimoPeriodo numeric
@attribute Class {CONCLUIDO,DESERTOU}

@data
1,0.355932,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.060606,0,0.002222,0.26,0,0,0.5,0.506849,0.556452,0.556622,0.224444,0.181818,0.86426,CONCLUIDO
0,0.288136,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0.060606,0,0.113333,0.34,0,0,0.25,0.260274,0.346774,0.347025,0.224444,0.818182,0.737163,CONCLUIDO
1,0.237288,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.113333,0.7,0,0,0.5,0.506849,0.419355,0.419578,0.446667,0,0.355872,DESERTOU
1,0.288136,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.416667,0.424658,0.46371,0.463916,0.222222,0.818182,0.63396,CONCLUIDO
0,0.186441,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.272727,0,0.001111,0,0,0.25,0.916667,0.917808,0.975806,0.928983,0.556667,0.909091,0.915099,CONCLUIDO
1,0.440678,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.060606,0,0.112222,0.28,0,0,0.416667,0.424658,0.544355,0.54453,0.333333,0.818182,0.69395,CONCLUIDO
0,0.372881,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0.333333,0,0.001111,0.17,0,0,0.666667,0.671233,0.83871,0.838772,0.557778,0.090909,0.830198,CONCLUIDO
0,0.237288,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.666667,0,0.112222,0,0,0,0.75,0.753425,0.899194,0.899232,0.445556,0.636364,0.631927,CONCLUIDO
0,0.322034,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.30303,0,0.001111,0.02,0,0,0.916667,0.917808,0.883065,0.883109,0.444444,0.727273,0.355872,DESERTOU
0,0.20339,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0.30303,0,0.113333,0.75825,0,0,0.5,0.506849,0.53629,0.536468,0.78,0.181818,0,DESERTOU
